Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
66|1591917314755|1591916863|1591916862075124031|1591916864|452680|451|1|2|1
67|1591917478155|1591917475|1591917474692169663|1591917478|3463|3|1|4|3
67|1591917548201|1591917475|1591917474692169663|1591917478|73509|73|1|4|3
67|1591917678241|1591917475|1591917474692169663|1591917478|203549|203|1|4|3
67|1591917928286|1591917475|1591917474692169663|1591917478|453594|453|1|4|3
68|1591918089566|1591918088|1591918087087559608|1591918089|2479|1|1|2|1
68|1591918159620|1591918088|1591918087087559608|1591918089|72533|71|1|2|1
68|1591918289675|1591918088|1591918087087559608|1591918089|202588|201|1|2|1
68|1591918539718|1591918088|1591918087087559608|1591918089|452631|451|1|2|1
69|1591918703276|1591918701|1591918700051983256|1591918703|3225|2|1|3|2
69|1591918773318|1591918701|1591918700051983256|1591918703|73267|72|1|3|2
69|1591918903366|1591918701|1591918700051983256|1591918703|203315|202|1|3|2
69|1591919153408|1591918701|1591918700051983256|1591918703|453357|452|1|3|2
70|1591919315619|1591919314|1591919313073005361|1591919315|2546|1|1|2|1
70|1591919385664|1591919314|1591919313073005361|1591919315|72591|71|1|2|1
70|1591919515706|1591919314|1591919313073005361|1591919315|202633|201|1|2|1
70|1591919765750|1591919314|1591919313073005361|1591919315|452677|451|1|2|1
71|1591919929138|1591919927|1591919926065523360|1591919929|3073|2|1|3|2
71|1591919999187|1591919927|1591919926065523360|1591919929|73122|72|1|3|2
71|1591920129222|1591919927|1591919926065523360|1591919929|203157|202|1|3|2
71|1591920379264|1591919927|1591919926065523360|1591919929|453199|452|1|3|2
72|1591920542571|1591920540|1591920539058819881|1591920542|3513|2|1|3|2
72|1591920613913|1591920540|1591920539058819881|1591920542|74855|73|1|3|2
72|1591920743954|1591920540|1591920539058819881|1591920542|204896|203|1|3|2
72|1591920994003|1591920540|1591920539058819881|1591920542|454945|454|1|3|2
73|1591921155903|1591921154|1591921152046771499|1591921155|3857|1|2|3|1
73|1591921225954|1591921154|1591921152046771499|1591921155|73908|71|2|3|1
73|1591921356002|1591921154|1591921152046771499|1591921155|203956|202|2|3|1
73|1591921606045|1591921154|1591921152046771499|1591921155|453999|452|2|3|1
74|1591921768043|1591921766|1591921765008644791|1591921767|3035|2|1|2|1
74|1591921838092|1591921766|1591921765008644791|1591921767|73084|72|1|2|1
74|1591921968134|1591921766|1591921765008644791|1591921767|203126|202|1|2|1
74|1591922218179|1591921766|1591921765008644791|1591921767|453171|452|1|2|1
75|1591922381221|1591922379|1591922378007708112|1591922381|3214|2|1|3|2
75|1591922451272|1591922379|1591922378007708112|1591922381|73265|72|1|3|2
75|1591922581320|1591922379|1591922378007708112|1591922381|203313|202|1|3|2
75|1591922831365|1591922379|1591922378007708112|1591922381|453358|452|1|3|2
76|1591922993839|1591922992|1591922991075797554|1591922993|2764|1|1|2|1
76|1591923063889|1591922992|1591922991075797554|1591922993|72814|71|1|2|1
76|1591923193946|1591922992|1591922991075797554|1591922993|202871|201|1|2|1
76|1591923444007|1591922992|1591922991075797554|1591922993|452932|452|1|2|1
77|1591923606535|1591923605|1591923603926273960|1591923606|2609|1|2|3|1
77|1591923676580|1591923605|1591923603926273960|1591923606|72654|71|2|3|1
77|1591923806625|1591923605|1591923603926273960|1591923606|202699|201|2|3|1
77|1591924056671|1591923605|1591923603926273960|1591923606|452745|451|2|3|1
78|1591924219445|1591924218|1591924216918122566|1591924219|2527|1|2|3|1
78|1591924289496|1591924218|1591924216918122566|1591924219|72578|71|2|3|1
78|1591924419543|1591924218|1591924216918122566|1591924219|202625|201|2|3|1
78|1591924669590|1591924218|1591924216918122566|1591924219|452672|451|2|3|1
79|1591924832345|1591924831|1591924829942040447|1591924832|2403|1|2|3|1
79|1591924902396|1591924831|1591924829942040447|1591924832|72454|71|2|3|1
79|1591925032436|1591924831|1591924829942040447|1591924832|202494|201|2|3|1
79|1591925282481|1591924831|1591924829942040447|1591924832|452539|451|2|3|1
80|1591925446176|1591925444|1591925442955817913|1591925446|3221|2|2|4|2
80|1591925516229|1591925444|1591925442955817913|1591925446|73274|72|2|4|2
80|1591925646273|1591925444|1591925442955817913|1591925446|203318|202|2|4|2
80|1591925896319|1591925444|1591925442955817913|1591925446|453364|452|2|4|2
81|1591926057766|1591926057|1591926055325749873|1591926057|2441|0|2|2|0
81|1591926127810|1591926057|1591926055325749873|1591926057|72485|70|2|2|0
81|1591926257871|1591926057|1591926055325749873|1591926057|202546|200|2|2|0
81|1591926507910|1591926057|1591926055325749873|1591926057|452585|450|2|2|0
82|1591926671519|1591926670|1591926668318939290|1591926671|3201|1|2|3|1
82|1591926741547|1591926670|1591926668318939290|1591926671|73229|71|2|3|1
82|1591926871603|1591926670|1591926668318939290|1591926671|203285|201|2|3|1
82|1591927121652|1591926670|1591926668318939290|1591926671|453334|451|2|3|1
83|1591927283941|1591927283|1591927281298154629|1591927283|2643|0|2|2|0
83|1591927353994|1591927283|1591927281298154629|1591927283|72696|70|2|2|0
83|1591927484057|1591927283|1591927281298154629|1591927283|202759|201|2|2|0
83|1591927734102|1591927283|1591927281298154629|1591927283|452804|451|2|2|0
84|1591927896280|1591927894|1591927893853746268|1591927896|2427|2|1|3|2
84|1591927966321|1591927894|1591927893853746268|1591927896|72468|72|1|3|2
84|1591928096373|1591927894|1591927893853746268|1591927896|202520|202|1|3|2
84|1591928346420|1591927894|1591927893853746268|1591927896|452567|452|1|3|2
85|1591928509728|1591928508|1591928506548201691|1591928509|3180|1|2|3|1
85|1591928579787|1591928508|1591928506548201691|1591928509|73239|71|2|3|1
85|1591928709834|1591928508|1591928506548201691|1591928509|203286|201|2|3|1
85|1591928959884|1591928508|1591928506548201691|1591928509|453336|451|2|3|1
86|1591929121781|1591929120|1591929118715914890|1591929121|3066|1|2|3|1
86|1591929191834|1591929120|1591929118715914890|1591929121|73119|71|2|3|1
86|1591929321875|1591929120|1591929118715914890|1591929121|203160|201|2|3|1
86|1591929571920|1591929120|1591929118715914890|1591929121|453205|451|2|3|1
87|1591929734488|1591929733|1591929731326829816|1591929734|3162|1|2|3|1
87|1591929804528|1591929733|1591929731326829816|1591929734|73202|71|2|3|1
87|1591929934574|1591929733|1591929731326829816|1591929734|203248|201|2|3|1
87|1591930184620|1591929733|1591929731326829816|1591929734|453294|451|2|3|1
88|1591930347644|1591930346|1591930345140627586|1591930347|2504|1|1|2|1
88|1591930417698|1591930346|1591930345140627586|1591930347|72558|71|1|2|1
88|1591930547740|1591930346|1591930345140627586|1591930347|202600|201|1|2|1
88|1591930797790|1591930346|1591930345140627586|1591930347|452650|451|1|2|1
89|1591930960678|1591930959|1591930958140449215|1591930960|2538|1|1|2|1
89|1591931030725|1591930959|1591930958140449215|1591930960|72585|71|1|2|1
89|1591931160771|1591930959|1591930958140449215|1591930960|202631|201|1|2|1
89|1591931410813|1591930959|1591930958140449215|1591930960|452673|451|1|2|1
90|1591931573234|1591931572|1591931570526530907|1591931573|2708|1|2|3|1
90|1591931643276|1591931572|1591931570526530907|1591931573|72750|71|2|3|1
90|1591931773328|1591931572|1591931570526530907|1591931573|202802|201|2|3|1
90|1591932023370|1591931572|1591931570526530907|1591931573|452844|451|2|3|1
91|1591932185951|1591932184|1591932182907410334|1591932185|3044|1|2|3|1
91|1591932255993|1591932184|1591932182907410334|1591932185|73086|71|2|3|1
91|1591932386037|1591932184|1591932182907410334|1591932185|203130|202|2|3|1
91|1591932636089|1591932184|1591932182907410334|1591932185|453182|452|2|3|1
92|1591932797943|1591932796|1591932795542042023|1591932797|2401|1|1|2|1
92|1591932867986|1591932796|1591932795542042023|1591932797|72444|71|1|2|1
92|1591932998047|1591932796|1591932795542042023|1591932797|202505|202|1|2|1
92|1591933248086|1591932796|1591932795542042023|1591932797|452544|452|1|2|1
93|1591933411002|1591933410|1591933408518841523|1591933410|2484|1|2|2|0
93|1591933481060|1591933410|1591933408518841523|1591933410|72542|71|2|2|0
93|1591933611110|1591933410|1591933408518841523|1591933410|202592|201|2|2|0
93|1591933861171|1591933410|1591933408518841523|1591933410|452653|451|2|2|0
94|1591934023816|1591934023|1591934021315180713|1591934023|2501|0|2|2|0
94|1591934093889|1591934023|1591934021315180713|1591934023|72574|70|2|2|0
