Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
1980|1593091176080|1593091173|1593091172167723994|1593091175|3913|3|1|3|2
1981|1593091787520|1593091786|1593091784936667982|1593091787|2584|1|2|3|1
1982|1593092400626|1593092399|1593092397503813835|1593092400|3123|1|2|3|1
1983|1593093012736|1593093011|1593093010261518473|1593093012|2475|1|1|2|1
1984|1593093625823|1593093625|1593093623246713888|1593093625|2577|0|2|2|0
1985|1593094239215|1593094237|1593094236190817388|1593094239|3025|2|1|3|2
1986|1593094851443|1593094850|1593094848950645911|1593094851|2493|1|2|3|1
1987|1593095464588|1593095463|1593095461717169729|1593095464|2871|1|2|3|1
1988|1593096077709|1593096076|1593096074681570443|1593096077|3028|1|2|3|1
1989|1593096690068|1593096688|1593096687470835589|1593096689|2598|2|1|2|1
1990|1593097302371|1593097301|1593097299822145639|1593097302|2549|1|2|3|1
1991|1593097916233|1593097914|1593097912810792794|1593097916|3423|2|2|4|2
1992|1593098528317|1593098526|1593098525639082176|1593098528|2678|2|1|3|2
1993|1593099142234|1593099140|1593099138639406402|1593099142|3595|2|2|4|2
1994|1593099755486|1593099753|1593099751622204854|1593099755|3864|2|2|4|2
1995|1593100367756|1593100365|1593100363912999113|1593100367|3844|2|2|4|2
1996|1593100979473|1593100978|1593100976873462566|1593100979|2600|1|2|3|1
1997|1593101591990|1593101591|1593101589469618700|1593101591|2521|0|2|2|0
1998|1593102204932|1593102203|1593102202486882098|1593102204|2446|1|1|2|1
1999|1593102819331|1593102816|1593102815606135826|1593102819|3725|3|1|4|3
2000|1593103431783|1593103430|1593103428558489718|1593103431|3225|1|2|3|1
2001|1593104044420|1593104042|1593104040930600255|1593104044|3490|2|2|4|2
2002|1593104656521|1593104655|1593104653952970833|1593104656|2569|1|2|3|1
2003|1593105269167|1593105268|1593105266702540378|1593105269|2465|1|2|3|1
2004|1593105881348|1593105880|1593105878843616554|1593105881|2505|1|2|3|1
2005|1593106495056|1593106492|1593106491599350664|1593106494|3457|3|1|3|2
